material_id,formula,band_gap,hull_eV,formation_eV,density,point_group,spacegroup,crystal_system,piezoelectric_modulus,refractive_index,e_total,e_electronic,photonic_score,photonic_notes,r_est,loss_est_dB,sq_dB_pred,r_estimated,T_total
mp-6853,Ca3TaGa3(SiO7)2,3.9126,0.0,-3.081639833036231,4.471463899478167,32,P321,Trigonal,2.679148209288183,1.865799364883588,32.114435516761354,3.48120727,11,✓ Noncentro (32) — χ⁽²⁾ allowed | ✓ Gap 3.91 eV — transparent at 775nm | ✓ n=1.87 — ideal waveguide confinement | ✓ Piezo=2.68 C/m² — strong χ⁽²⁾ proxy,0.7557,0.1561,2.448,0.7557,0.5528
mp-558387,TeOF2,4.2002,0.0,-2.1164074666666663,5.047810666340969,2,P2_1,Monoclinic,1.217635664351204,1.805838536525345,15.039083056666668,3.26105282,11,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 4.20 eV — transparent at 775nm | ✓ n=1.81 — ideal waveguide confinement | ✓ Piezo=1.22 C/m² — strong χ⁽²⁾ proxy,0.3491,0.1722,1.395,0.3491,0.5467
mp-1217830,TaTlWO6,3.2355,0.0,-2.516774327296297,7.619552106607962,mm2,Ima2,Orthorhombic,11.039004585561855,2.3029513079235238,252.7668214100001,5.303584726666667,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.24 eV — transparent at 775nm | ✓ n=2.30 — ideal waveguide confinement | ✓ Piezo=11.04 C/m² — strong χ⁽²⁾ proxy,2.8026,0.083,3.76,2.8026,0.5815
mp-550925,NaScAs2O7,3.46,0.0,-2.357954287852664,3.6462267853828,2,C2,Monoclinic,2.670094596880208,1.8444036145413871,16.660436086666667,3.4018246933333334,11,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 3.46 eV — transparent at 775nm | ✓ n=1.84 — ideal waveguide confinement | ✓ Piezo=2.67 C/m² — strong χ⁽²⁾ proxy,0.7575,0.1616,2.439,0.7575,0.5507
mp-3677,MgSiN2,3.9662000000000006,0.0,-1.3460087593750003,3.1469685511783623,mm2,Pna2_1,Orthorhombic,1.5784585446251032,2.089680300109724,8.757305796666666,4.366763756666667,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.97 eV — transparent at 775nm | ✓ n=2.09 — ideal waveguide confinement | ✓ Piezo=1.58 C/m² — strong χ⁽²⁾ proxy,0.4207,0.1111,1.703,0.4207,0.5703
mp-661,AlN,4.0536,0.0,-1.6796721718749996,3.200889717614517,6mm,P6_3mc,Hexagonal,1.675678528149127,2.131321910614787,8.731928620001746,4.542533086666666,11,✓ Noncentro (6mm) — χ⁽²⁾ allowed | ✓ Gap 4.05 eV — transparent at 775nm | ✓ n=2.13 — ideal waveguide confinement | ✓ Piezo=1.68 C/m² — strong χ⁽²⁾ proxy,0.4422,0.1047,1.78,0.4422,0.5728
mp-555903,Al(IO3)3,3.3466,0.0,-1.3017925411538454,5.036955884461228,6,P6_3,Hexagonal,1.573204377158176,2.00891931561889,8.33793544,4.035756816666668,11,✓ Noncentro (6) — χ⁽²⁾ allowed | ✓ Gap 3.35 eV — transparent at 775nm | ✓ n=2.01 — ideal waveguide confinement | ✓ Piezo=1.57 C/m² — strong χ⁽²⁾ proxy,0.4276,0.125,1.705,0.4276,0.5648
mp-9309,CsTa(BO3)2,3.4038,0.0,-3.013451491032184,4.755152673753062,mm2,Pmn2_1,Orthorhombic,1.029423867364653,1.842975603926071,14.174491289999995,3.3965590766666662,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.40 eV — transparent at 775nm | ✓ n=1.84 — ideal waveguide confinement | ✓ Piezo=1.03 C/m² — strong χ⁽²⁾ proxy,0.2922,0.162,1.213,0.2922,0.5506
mp-9747,B4PbO7,4.209300000000001,0.0,-2.6473397413889157,5.846993607062421,mm2,Pmn2_1,Orthorhombic,1.533211452507448,1.9688115095153216,17.249810543333332,3.87621876,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.21 eV — transparent at 775nm | ✓ n=1.97 — ideal waveguide confinement | ✓ Piezo=1.53 C/m² — strong χ⁽²⁾ proxy,0.421,0.1328,1.673,0.421,0.5618
mp-1245510,Mg3MoN4,3.4901,0.0,-0.9721851925000004,3.647223964816253,mm2,Pmn2_1,Orthorhombic,2.352154731198609,2.296470774906574,10.268663116666666,5.27377802,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.49 eV — transparent at 775nm | ✓ n=2.30 — ideal waveguide confinement | ✓ Piezo=2.35 C/m² — strong χ⁽²⁾ proxy,0.598,0.0837,2.258,0.598,0.5812
mp-13108,SrHfO3,3.7305,0.0328964169999999,-3.779468507,7.345445368102092,4mm,P4mm,Tetragonal,8.735864163338391,2.085764604008164,246.35700598000005,4.3504139833333335,10,✓ Noncentro (4mm) — χ⁽²⁾ allowed | ✓ Gap 3.73 eV — transparent at 775nm | ✓ n=2.09 — ideal waveguide confinement | ✓ Piezo=8.74 C/m² — strong χ⁽²⁾ proxy,2.3305,0.1117,3.612,2.3305,0.57
mp-1189451,BeCN2,5.50918679560471,0.0,-0.5648687118750004,3.3041687081982163,mm2,Pna2_1,Orthorhombic,0.493098496550131,2.17928388085016,7.093535276666667,4.749278233333333,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 5.51 eV — transparent at 775nm | ✓ n=2.18 — ideal waveguide confinement | △ Piezo=0.49 C/m² — moderate,0.1287,0.098,0.608,0.1287,0.5755
mp-9066,NaLi2AsO4,3.8891,0.0,-2.1993633044432475,3.010820324658821,mm2,Pmn2_1,Orthorhombic,1.1166258161980671,1.6438274960185653,5.949246636666667,2.7021688366666665,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.89 eV — transparent at 775nm | △ n=1.64 — weak confinement | ✓ Piezo=1.12 C/m² — strong χ⁽²⁾ proxy,0.3355,0.2282,1.291,0.3355,0.526
mp-35795,BiPbF5,4.288399999999999,0.0540812285714276,-2.6811187435714285,7.61125996572744,1,P1,Triclinic,3.4888030166697,1.8367576368880756,27.778948646666663,3.3736786166666666,10,✓ Noncentro (1) — χ⁽²⁾ allowed | ✓ Gap 4.29 eV — transparent at 775nm | ✓ n=1.84 — ideal waveguide confinement | ✓ Piezo=3.49 C/m² — strong χ⁽²⁾ proxy,0.9918,0.1636,2.793,0.9918,0.55
mp-3998,LaTaO4,3.3887,0.0056946729166664,-3.7071388720555554,7.751849673364303,mm2,Cmc2_1,Orthorhombic,2.33363100780736,2.278493513998522,50.70538895999999,5.191532693333333,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.39 eV — transparent at 775nm | ✓ n=2.28 — ideal waveguide confinement | ✓ Piezo=2.33 C/m² — strong χ⁽²⁾ proxy,0.5956,0.0857,2.248,0.5956,0.5804
mp-542464,Ga2H6(SeO4)3,3.9647,0.0055070041304308,-1.457728964544836,3.725518812924193,3m,R3c,Trigonal,1.035399453754909,1.8164382336503124,7.846520660009731,3.299447856666667,10,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 3.96 eV — transparent at 775nm | ✓ n=1.82 — ideal waveguide confinement | ✓ Piezo=1.04 C/m² — strong χ⁽²⁾ proxy,0.296,0.1692,1.219,0.296,0.5478
mp-15701,MgSiN2,3.4715,0.0293443693749999,-1.3166643900000006,3.1790317199306446,-42m,I-42d,Tetragonal,1.14581,2.11501773830229,9.02309213,4.4733000333333335,10,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 3.47 eV — transparent at 775nm | ✓ n=2.12 — ideal waveguide confinement | ✓ Piezo=1.15 C/m² — strong χ⁽²⁾ proxy,0.3035,0.1072,1.309,0.3035,0.5718
