material_id,formula,band_gap,hull_eV,formation_eV,density,point_group,spacegroup,crystal_system,nelements,nsites,elements,is_noncentro,piezoelectric_modulus,refractive_index,e_total,e_electronic,photonic_score,photonic_notes,photonic_binary,r_est,loss_est_dB,sq_dB_pred,r_estimated,T_total,final_composite
mp-1227442,Be2BH3O5,5.6261,0.0,-2.330070615265152,2.0746517179792527,1,P1,Triclinic,4,11,"['B', 'Be', 'H', 'O']",True,0.8005804947640021,1.572276918993598,5.312221140000001,2.4720547100000005,9,✓ Noncentro (1) — χ⁽²⁾ allowed | ✓ Gap 5.63 eV — transparent at 775nm | △ n=1.57 — weak confinement | △ Piezo=0.80 C/m² — moderate,1,0.246,0.2608,0.968,0.246,0.5143,0.4777
mp-643759,GaH3NF3,5.3089,0.0,-1.7241153426562508,3.2100812895978565,mm2,Aem2,Orthorhombic,4,16,"['F', 'Ga', 'H', 'N']",True,0.7982160047255371,1.532796007301689,6.833422420000001,2.3494635999999995,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 5.31 eV — transparent at 775nm | △ n=1.53 — weak confinement | △ Piezo=0.80 C/m² — moderate,1,0.2484,0.2815,0.961,0.2484,0.507,0.4775
mp-14708,Tm2Ge2O7,3.7188,0.0,-3.0852458706818195,7.123839375855494,422,P4_12_12,Tetragonal,3,44,"['Ge', 'O', 'Tm']",True,0.105239999999999,1.9291723130226943,11.65428028,3.7217058133333336,10,✓ Noncentro (422) — χ⁽²⁾ allowed | ✓ Gap 3.72 eV — transparent at 775nm | ✓ n=1.93 — ideal waveguide confinement | △ Piezo=0.11 C/m² — moderate,1,0.0292,0.1412,0.14,0.0292,0.5585,0.4774
mp-556966,KSrVO4,3.8457,0.0,-2.7867498592500004,3.5468000253164345,222,P2_12_12_1,Orthorhombic,4,28,"['K', 'O', 'Sr', 'V']",True,0.105409999999999,1.8174841154739152,10.816087083333333,3.30324851,10,✓ Noncentro (222) — χ⁽²⁾ allowed | ✓ Gap 3.85 eV — transparent at 775nm | ✓ n=1.82 — ideal waveguide confinement | △ Piezo=0.11 C/m² — moderate,1,0.0301,0.1689,0.141,0.0301,0.548,0.4774
mp-6632,Ca5B3O9F,4.236800000000001,0.0,-3.3793136143055573,2.89050135357294,m,Cm,Monoclinic,4,18,"['B', 'Ca', 'F', 'O']",True,0.752834743210113,1.7063015794401646,11.19574343,2.9114650800000006,9,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 4.24 eV — transparent at 775nm | △ n=1.71 — weak confinement | △ Piezo=0.75 C/m² — moderate,1,0.222,0.2041,0.925,0.222,0.5348,0.4763
mp-707304,Be4Si2H2O9,5.7429,0.0,-2.8471256845588244,2.537257679309059,mm2,Cmc2_1,Orthorhombic,4,34,"['Be', 'H', 'O', 'Si']",True,0.749215152609715,1.6346339467905346,5.498620523333334,2.67202814,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 5.74 eV — transparent at 775nm | △ n=1.63 — weak confinement | △ Piezo=0.75 C/m² — moderate,1,0.2258,0.2321,0.918,0.2258,0.5246,0.4761
mp-1226455,Cs2GeB4O9,4.274900000000001,0.0,-2.656378363498564,3.590812301618889,2,C2,Monoclinic,4,16,"['B', 'Cs', 'Ge', 'O']",True,0.7450334258540101,1.6157291159460117,8.009126195541386,2.61058057611568,9,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 4.27 eV — transparent at 775nm | △ n=1.62 — weak confinement | △ Piezo=0.75 C/m² — moderate,1,0.2258,0.2404,0.913,0.2258,0.5216,0.4759
mp-22958,KBrO3,3.8569,0.0,-1.0446346494499998,3.302905244983305,3m,R3m,Trigonal,3,5,"['Br', 'K', 'O']",True,0.7328396729887541,1.6583984131283611,6.993970993235352,2.7502852966666667,9,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 3.86 eV — transparent at 775nm | △ n=1.66 — weak confinement | △ Piezo=0.73 C/m² — moderate,1,0.2192,0.2223,0.901,0.2192,0.5281,0.4755
mp-998193,RbSnF3,3.3929,0.042196891625001,-2.7419322315000003,3.86358012777759,1,P1,Triclinic,3,5,"['F', 'Rb', 'Sn']",True,3.512726517933698,1.6436278086395757,23.85185738666667,2.7015123733333333,9,✓ Noncentro (1) — χ⁽²⁾ allowed | ✓ Gap 3.39 eV — transparent at 775nm | △ n=1.64 — weak confinement | ✓ Piezo=3.51 C/m² — strong χ⁽²⁾ proxy,1,1.0556,0.2283,2.694,1.0556,0.5259,0.4753
mp-554206,Cs2Al2As2O7,3.6622,0.0,-2.500848698408488,3.7781605550545287,mm2,Imm2,Orthorhombic,4,13,"['Al', 'As', 'Cs', 'O']",True,0.707939999999999,1.700770192197249,7.773192873333333,2.892619246666667,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.66 eV — transparent at 775nm | △ n=1.70 — weak confinement | △ Piezo=0.71 C/m² — moderate,1,0.2091,0.2061,0.875,0.2091,0.5341,0.4746
mp-1539101,TeSeO4,3.3937000000000004,2.8319166666790352e-05,-1.348482418168402,4.81983367356331,mm2,Ima2,Orthorhombic,3,12,"['O', 'Se', 'Te']",True,1.750741725386995,2.1782060217717887,42.66276252170838,4.7445814732828815,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.39 eV — transparent at 775nm | ✓ n=2.18 — ideal waveguide confinement | ✓ Piezo=1.75 C/m² — strong χ⁽²⁾ proxy,1,0.457,0.0981,1.836,0.457,0.5754,0.4739
mp-633158,NaTeH6O6F,3.5813,0.0,-1.530702604036399,3.1126113313507155,3,R3,Trigonal,5,15,"['F', 'H', 'Na', 'O', 'Te']",True,0.6877315872489791,1.6216753723644366,6.884909533334455,2.629831013333334,9,✓ Noncentro (3) — χ⁽²⁾ allowed | ✓ Gap 3.58 eV — transparent at 775nm | △ n=1.62 — weak confinement | △ Piezo=0.69 C/m² — moderate,1,0.2081,0.2377,0.851,0.2081,0.5225,0.4738
mp-626417,CsH3O2,4.1021,0.0,-1.441926417234195,3.684820164048475,mm2,Amm2,Orthorhombic,3,6,"['Cs', 'H', 'O']",True,0.6820900733041051,1.6385340918027915,6.167858023333333,2.68479397,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.10 eV — transparent at 775nm | △ n=1.64 — weak confinement | △ Piezo=0.68 C/m² — moderate,1,0.2053,0.2305,0.845,0.2053,0.5251,0.4736
mp-753378,TaGaO4,3.2819,0.0405779220833348,-2.8569991833055552,7.905905200830079,mm2,Pnc2,Orthorhombic,3,12,"['Ga', 'O', 'Ta']",True,1.73621,2.2720269489305505,25.675411370000003,5.162106456666667,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.28 eV — transparent at 775nm | ✓ n=2.27 — ideal waveguide confinement | ✓ Piezo=1.74 C/m² — strong χ⁽²⁾ proxy,1,0.4438,0.0864,1.813,0.4438,0.5801,0.4732
mp-13725,Li3PO4,5.818099999999999,0.0,-2.753226182455357,2.5354446605161662,mm2,Pmn2_1,Orthorhombic,3,16,"['Li', 'O', 'P']",True,0.659700384189671,1.58503243499936,5.56427469,2.51232782,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 5.82 eV — transparent at 775nm | △ n=1.59 — weak confinement | △ Piezo=0.66 C/m² — moderate,1,0.2019,0.2546,0.817,0.2019,0.5165,0.4727
mp-554894,MgTlP(H6O5)2,4.5212,0.0,-1.6546803429190482,2.9723852378060265,mm2,Pmn2_1,Orthorhombic,5,50,"['H', 'Mg', 'O', 'P', 'Tl']",True,0.6511546060652571,1.6157392219455875,12.264672106666668,2.6106132333333334,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.52 eV — transparent at 775nm | △ n=1.62 — weak confinement | △ Piezo=0.65 C/m² — moderate,1,0.1974,0.2403,0.81,0.1974,0.5216,0.4725
